P161245,13.55,0.4
P161288,16.4,0.236156839
P161308,8.39,0.425467829
P161316_CELL2,13.84,0.13582321
P161333,12.64,0.404453015
P161367NORMS,5.42,0.821138211
P161403M,20.55,0.314629259
P161445,8.71,0.771695594
P161568,8.45,0.17144911
P170106,14.01,0.451100244
